injury_id,angle_id,frame_index,velocity,acceleration
injury_02,angle_01,31,12.547137,2.7232351
injury_02,angle_01,32,12.639522,0.09238434
injury_02,angle_01,33,17.051107,4.411586
injury_02,angle_01,34,16.75854,-0.2925682
injury_02,angle_01,35,14.721722,-2.0368176
injury_02,angle_01,36,12.797403,-1.9243183
injury_02,angle_01,37,13.685872,0.88846874
injury_02,angle_01,38,12.388618,-1.2972536
injury_02,angle_01,39,13.6923,1.3036814
injury_02,angle_01,40,14.788538,1.0962381
injury_02,angle_01,41,15.604921,0.81638336
injury_02,angle_01,42,16.094196,0.48927498
injury_02,angle_01,43,18.38558,2.2913837
injury_02,angle_01,44,18.594349,0.20876884
injury_03,angle_01,1,3.9278412,
injury_03,angle_01,2,3.7054245,-0.22241664
injury_03,angle_01,3,2.4451506,-1.2602739
injury_03,angle_01,4,1.1327492,-1.3124014
injury_03,angle_01,5,1.7866896,0.65394044
injury_03,angle_01,6,2.8706753,1.0839857
injury_03,angle_01,7,3.0306506,0.15997529
injury_03,angle_01,8,2.9152563,-0.115394354
injury_03,angle_01,9,2.719538,-0.19571829
injury_03,angle_01,10,3.9648678,1.2453299
injury_03,angle_01,11,3.3360894,-0.62877846
injury_03,angle_01,12,2.8770585,-0.45903087
injury_03,angle_01,13,4.1383643,1.2613058
injury_03,angle_01,14,6.351644,2.2132797
injury_03,angle_02,1,10.894535,
injury_03,angle_02,2,10.812338,-0.08219719
injury_03,angle_02,3,10.192143,-0.62019444
injury_03,angle_02,4,9.953617,-0.23852634
injury_03,angle_02,5,10.169576,0.2159586
injury_03,angle_02,6,7.581161,-2.5884147
injury_03,angle_02,7,8.769212,1.1880507
injury_03,angle_02,8,9.678787,0.90957546
injury_03,angle_02,9,11.89127,2.2124825
injury_03,angle_02,10,12.046013,0.1547432
injury_03,angle_02,11,11.179224,-0.86678886
injury_03,angle_02,12,7.584285,-3.5949392
injury_03,angle_02,13,10.91775,3.3334656
injury_03,angle_02,14,9.451988,-1.4657621
injury_03,angle_02,15,11.636813,2.184825
injury_03,angle_02,16,10.307078,-1.3297348
injury_03,angle_02,17,9.980445,-0.32663345
injury_03,angle_02,18,9.700195,-0.2802496
injury_03,angle_02,19,10.50348,0.80328465
injury_03,angle_02,20,11.062338,0.5588579
injury_03,angle_02,21,10.099487,-0.9628506
injury_03,angle_02,22,9.529849,-0.56963825
injury_03,angle_02,23,8.971528,-0.558321
injury_03,angle_02,24,7.0916758,-1.8798523
injury_03,angle_02,25,5.103869,-1.9878068
injury_03,angle_02,26,5.4814115,0.3775425
injury_03,angle_02,27,5.1915894,-0.2898221
injury_03,angle_02,28,7.4116073,2.220018
injury_03,angle_02,29,8.170333,0.75872564
injury_03,angle_02,30,7.4158783,-0.7544546
injury_03,angle_02,31,7.823632,0.40775347
injury_03,angle_02,32,6.924065,-0.89956665
injury_03,angle_02,33,9.897553,2.9734883
injury_03,angle_02,34,9.070561,-0.82699203
injury_03,angle_03,1,7.0672765,
injury_03,angle_03,2,6.944788,-0.1224885
injury_03,angle_03,3,7.4474216,0.5026336
injury_03,angle_03,4,12.914833,5.4674115
injury_03,angle_03,5,10.423204,-2.4916286
injury_03,angle_03,6,8.440587,-1.9826174
injury_03,angle_03,7,8.206791,-0.23379612
injury_03,angle_03,8,11.523424,3.3166332
injury_03,angle_03,9,13.630702,2.1072779
injury_03,angle_03,10,18.051302,4.4206
injury_03,angle_03,11,16.590027,-1.4612751
injury_03,angle_03,12,17.198917,0.60889053
injury_03,angle_03,13,13.340122,-3.8587952
injury_03,angle_03,14,13.64865,0.30852795
injury_03,angle_03,15,17.943586,4.294936
injury_03,angle_03,16,18.017187,0.07360077
injury_03,angle_03,17,15.779094,-2.2380934
injury_03,angle_03,18,16.473526,0.69443226
injury_03,angle_03,19,11.8031,-4.6704264
injury_03,angle_03,20,12.465945,0.6628456
injury_03,angle_03,21,15.80214,3.336195
injury_03,angle_03,22,14.516057,-1.2860832
injury_03,angle_03,23,13.365395,-1.1506624
injury_03,angle_03,24,11.3045025,-2.060892
injury_03,angle_03,25,10.360748,-0.9437542
injury_03,angle_03,26,8.267168,-2.0935802
injury_03,angle_03,27,8.223808,-0.043359756
injury_03,angle_03,28,10.991656,2.767848
injury_03,angle_03,29,11.229335,0.23767853
injury_03,angle_03,30,8.703789,-2.525546
injury_03,angle_03,31,8.104144,-0.59964466
injury_03,angle_03,32,8.711269,0.6071253
injury_03,angle_03,33,15.789389,7.0781193
injury_03,angle_03,34,16.424206,0.6348171
injury_03,angle_04,1,5.919598,
injury_03,angle_04,2,4.6607966,-1.2588015
injury_03,angle_04,3,5.477041,0.8162441
injury_03,angle_04,4,6.3403344,0.86329365
injury_03,angle_04,5,4.4611816,-1.8791528
injury_03,angle_04,6,4.6516,0.19041824
injury_03,angle_04,7,4.9733725,0.32177258
injury_03,angle_04,8,5.3690934,0.39572096
injury_03,angle_04,9,4.323285,-1.0458083
injury_03,angle_04,10,6.6760874,2.3528023
injury_03,angle_04,11,7.0583134,0.382226
injury_03,angle_04,12,6.0248995,-1.0334139
injury_03,angle_04,13,4.7812996,-1.2435999
injury_03,angle_04,14,4.36061,-0.42068958
injury_03,angle_04,15,4.4639735,0.103363514
injury_03,angle_04,16,7.67657,3.2125964
injury_03,angle_04,17,6.4369774,-1.2395926
injury_03,angle_04,18,4.690567,-1.7464104
injury_03,angle_04,19,4.626658,-0.063909054
injury_03,angle_04,20,5.6193023,0.9926443
injury_03,angle_04,21,4.8084807,-0.81082153
injury_03,angle_04,22,2.5896597,-2.218821
injury_03,angle_04,23,3.0412462,0.45158648
injury_03,angle_04,24,2.246843,-0.7944031
injury_03,angle_04,25,3.3938613,1.1470182
injury_03,angle_04,26,4.3949566,1.0010953
injury_03,angle_04,27,4.8102064,0.41524982
injury_03,angle_04,28,3.6451159,-1.1650906
injury_03,angle_04,29,5.371716,1.7266002
